"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"9","19600504","012852","-18","-71.5","100","5","20223006"
"29","19610317","100628","-11.1","-78.8","60","5","20223006"
"58","19620312","015237","-13.9","-72.6","91","5","20223006"
"91","19630404","082626","-16.3","-73","95","5","20223006"
"117","19630818","230754","-14.2","-71.9","31","5","20223006"
"151","19631204","031307","-8.3","-81.1","33","5","20223006"
"181","19640224","183834","-3.37","-78","33","5","20223006"
"217","19640623","003012","-3.73","-78.1","53","5","20223006"
"219","19640702","090937","-11.5","-74.36","7","5","20223006"
"232","19640919","172612","-5.94","-81.685","10","5","20223006"
"233","19640921","132744","-8.3","-74.9","125","5","20223006"
"236","19641002","204147","-9.1","-79.687","32","5","20223006"
"240","19641013","235413","-13.57","-76.8","61","5","20223006"
"251","19641206","031538","-15.53","-70.6","168","5","20223006"
"278","19650328","053028","-15.277","-72.432","118","5","20223006"
"284","19650422","221405","-5.997","-78.642","111","5","20223006"
"288","19650505","091358","-13.861","-75.861","89","5","20223006"
"293","19650512","094238","-14.002","-76.54","37","5","20223006"
"335","19650919","141749","-16.33","-74.916","30","5","20223006"
"368","19651229","040829","-3.24","-77.158","51","5","20223006"
"370","19660101","195156","-7.91","-74.4","167","5","20223006"
"373","19660112","080209","-2.311","-77.044","156","5","20223006"
"378","19660120","071406","-14.833","-75.652","40","5","20223006"
"384","19660210","104336","-16.584","-73.732","40","5","20223006"
"399","19660403","091728","-10.47","-79.6","42","5","20223006"
"418","19660602","170541","-15.712","-71.799","137","5","20223006"
"424","19660605","190310","-9.8","-71","590","5","20223006"
"430","19660608","145653","-15.43","-76.106","20","5","20223006"
"441","19660705","235019","-15.632","-75.878","21","5","20223006"
"452","19660807","202227","-17.5","-72","45","5","20223006"
"460","19660829","054812","-18.488","-71.527","36","5","20223006"
"474","19661012","182750","-4.7","-80.91","52","5","20223006"
"486","19661018","015619","-10.6","-78.8","50","5","20223006"
"490","19661018","110205","-10.907","-79.21","31","5","20223006"
"491","19661018","125216","-11.03","-79.305","31","5","20223006"
"499","19661020","235055","-10.67","-79","44","5","20223006"
"500","19661023","034619","-11.594","-79.615","32","5","20223006"
"511","19661104","091504","-4.367","-77.631","107","5","20223006"
"516","19661113","011900","-11.074","-74.799","43","5","20223006"
"540","19670127","083852","-8.956","-71.389","605","5","20223006"
"552","19670218","185949","-10.47","-75.03","33","5","20223006"
"562","19670402","013531","-8.86","-76.29","3","5","20223006"
"576","19670510","203523","-15.67","-76.36","33","5","20223006"
"581","19670520","063346","-16.19","-75.269","36","5","20223006"
"593","19670616","100138","-15.213","-75.813","30","5","20223006"
"602","19670708","102457","-8.842","-74.563","150","5","20223006"
"605","19670714","100844","-6.265","-77.392","110","5","20223006"
"606","19670716","210353","-13.16","-75.27","95","5","20223006"
"627","19670824","130758","-15.9","-74.8","66","5","20223006"
"632","19670904","053216","-10.745","-79.665","40","5","20223006"
"635","19670913","151348","-10.65","-79.467","34","5","20223006"
"640","19670925","040350","-15.913","-75.385","15","5","20223006"
"653","19671027","062936","-8.523","-74.26","159","5","20223006"
"708","19680420","140725","-8.355","-80.002","38","5","20223006"
"732","19680619","091721","-5.75","-77","91","5","20223006"
"764","19680622","091650","-5.518","-77.056","26","5","20223006"
"829","19681018","195921","-4.096","-80.921","43","5","20223006"
"856","19681228","162909","-13.5","-74.5","112","5","20223006"
"864","19690114","095131","-8.673","-74.382","149","5","20223006"
"876","19690217","011151","-8.133","-80.291","43","5","20223006"
"885","19690305","231901","-6.59","-76.2","43","5","20223006"
"886","19690308","133705","-5.472","-77.001","20","5","20223006"
"895","19690330","050539","-4.365","-80.764","66","5","20223006"
"919","19690621","155209","-14.977","-75.959","25","5","20223006"
"921","19690630","082722","-3.56","-76.88","76","5","20223006"
"925","19690704","072150","-4.226","-80.989","28","5","20223006"
"928","19690711","135127","-4.33","-76.688","124","5","20223006"
"930","19690715","165651","-8.403","-74.386","153","5","20223006"
"934","19690724","043239","-11.916","-75.136","27","5","20223006"
"942","19690802","135000","-8.329","-76.97","16","5","20223006"
"994","19691210","094648","-7.302","-74.686","147","5","20223006"
"1036","19700527","095237","-6.098","-76.57","57","5","20223006"
"1041","19700531","214505","-10.178","-78.599","63","5","20223006"
"1054","19700601","061923","-9.664","-78.839","53","5","20223006"
"1060","19700602","015334","-10.414","-78.701","43","5","20223006"
"1068","19700603","110919","-10.097","-78.902","63","5","20223006"
"1070","19700604","024125","-10.095","-78.737","48","5","20223006"
"1078","19700607","090004","-9.826","-78.902","56","5","20223006"
"1104","19700710","075330","-9.483","-79.468","57","5","20223006"
"1115","19700809","022013","-9.968","-78.787","51","5","20223006"
"1126","19700923","083200","-11.783","-77.644","75","5","20223006"
"1132","19701009","155314","-10.231","-78.802","43","5","20223006"
"1136","19701027","093741","-12.925","-76.546","77","5","20223006"
"1154","19701210","054548","-4","-81","33","5","20223006"
"1156","19701210","091855","-3.836","-80.826","53","5","20223006"
"1166","19701211","035722","-3.924","-80.734","36","5","20223006"
"1167","19701211","100125","-4.5","-81.4","48","5","20223006"
"1182","19701213","233657","-3.98","-80.75","61","5","20223006"
"1189","19701218","070814","-4.211","-80.979","39","5","20223006"
"1238","19710421","040633","-14.369","-71.812","113","5","20223006"
"1240","19710426","142643","-7.914","-74.987","100","5","20223006"
"1259","19710709","204630","-3.838","-80.749","25","5","20223006"
"1283","19710927","211437","-15.291","-75.384","35","5","20223006"
"1284","19710930","102127","-10.058","-79.407","54","5","20223006"
"1286","19711003","102927","-12.75","-77.362","24","5","20223006"
"1289","19711006","075222","-15.153","-71.911","133","5","20223006"
"1305","19711119","061020","-10.012","-78.79","73","5","20223006"
"1306","19711127","073501","-8.764","-79.154","88","5","20223006"
"1312","19720111","023823","-3.656","-77.295","120","5","20223006"
"1366","19720616","125658","-13.868","-69.205","0","5","20223006"
"1372","19720703","145312","-13.833","-74.463","35","5","20223006"
"1379","19720717","035100","-14.563","-76.395","25","5","20223006"
"1390","19720816","184216","-13.971","-77.139","0","5","20223006"
"1392","19720820","163934","-7.664","-74.66","150","5","20223006"
"1402","19720929","012047","-8.412","-74.928","136","5","20223006"
"1406","19721010","092605","-6.684","-74.862","130","5","20223006"
"1413","19721027","152252","-8.499","-74.303","129","5","20223006"
"1415","19721029","045511","-5.546","-76.476","52","5","20223006"
"1417","19721129","053747","-16.521","-71.042","126","5","20223006"
"1431","19730116","063141","-15.786","-74.336","75","5","20223006"
"1434","19730130","173621","-5.578","-77.087","30","5","20223006"
"1439","19730211","125357","-6.039","-81.124","99","5","20223006"
"1441","19730301","200444","-9.928","-74.921","0","5","20223006"
"1450","19730317","082816","-9.426","-77.147","76","5","20223006"
"1463","19730425","165113","-10.897","-76.669","117","5","20223006"
"1474","19730529","163845","-8.506","-73.993","181","5","20223006"
"1476","19730609","132412","-4.803","-77.336","116","5","20223006"
"1480","19730709","053005","-16.136","-73.899","85","5","20223006"
"1522","19731105","054135","-8.358","-74.368","179","5","20223006"
"1541","19740113","172350","-12.621","-73.063","54","5","20223006"
"1544","19740119","095258","-18.828","-72.386","63","5","20223006"
"1553","19740208","062213","-8.432","-77.328","78","5","20223006"
"1556","19740212","083319","-5.928","-74.681","54","5","20223006"
"1562","19740316","024716","-14.986","-74.367","33","5","20223006"
"1568","19740401","153418","-5.001","-77.25","136","5","20223006"
"1572","19740418","035338","-5.653","-77.166","27","5","20223006"
"1585","19740529","235151","-9.76","-75.628","177","5","20223006"
"1595","19740619","185615","-16.687","-71.907","0","5","20223006"
"1598","19740623","114709","-10.319","-77.653","56","5","20223006"
"1602","19740706","193043","-10.069","-73.296","0","5","20223006"
"1607","19740724","134257","-15.542","-71.49","143","5","20223006"
"1622","19740919","000840","-9.873","-78.394","48","5","20223006"
"1628","19741003","152819","-12.797","-76.37","25","5","20223006"
"1629","19741003","175110","-12.446","-77.069","4","5","20223006"
"1632","19741003","204942","-12.638","-77.667","97","5","20223006"
"1693","19741105","232044","-16.888","-71.757","73","5","20223006"
"1708","19741217","134736","-14.125","-75.806","83","5","20223006"
"1710","19741223","081402","-3.2","-75.844","147","5","20223006"
"1718","19750122","150732","-7.743","-74.571","152","5","20223006"
"1724","19750211","120344","-9.846","-79.077","56","5","20223006"
"1735","19750320","035648","-8.732","-82.23","0","5","20223006"
"1744","19750427","184953","-9.758","-79.551","75","5","20223006"
"1759","19750611","163737","-5.972","-73.364","0","5","20223006"
"1763","19750629","121659","-9.233","-80.627","47","5","20223006"
"1767","19750723","165733","-15.547","-75.28","59","5","20223006"
"1806","19760209","093909","-14.934","-73.753","109","5","20223006"
"1819","19760428","200320","-9.238","-80.387","31","5","20223006"
"1831","19760519","083532","-11.617","-74.388","43","5","20223006"
"1841","19760708","124620","-5.077","-80.192","93","5","20223006"
"1855","19760912","135201","-4.2","-81.83","33","5","20223006"
"1870","19761206","050140","-11.588","-73.992","52","5","20223006"
"1873","19761222","110801","-15.501","-70.544","197","5","20223006"
"1883","19770213","130933","-12.332","-74.051","55","5","20223006"
"1885","19770301","010227","-8.789","-74.615","141","5","20223006"
"1915","19770621","153208","-15.866","-75.501","33","5","20223006"
"1928","19770826","054652","-7.99","-74.484","151","5","20223006"
"1956","19780202","061503","-8.827","-75.981","43","5","20223006"
"1964","19780317","191827","-11.019","-74.022","147","5","20223006"
"1972","19780414","134349","-15.633","-71.917","158","5","20223006"
"1982","19780505","125523","-10.475","-71.127","543","5","20223006"
"1999","19780703","052455","-6.071","-81.233","33","5","20223006"
"2008","19780808","014324","-17.675","-70.001","139","5","20223006"
"2038","19790108","042028","-15.162","-72.026","120","5","20223006"
"2045","19790215","204920","-16.592","-69.854","199","5","20223006"
"2047","19790216","111310","-17.099","-72.748","70","5","20223006"
"2059","19790310","100247","-15.186","-71.15","37","5","20223006"
"2076","19790527","120705","-17.006","-72.803","49","5","20223006"
"2082","19790607","035323","-9.965","-75.269","115","5","20223006"
"2096","19790730","134318","-7.27","-78.167","71","5","20223006"
"2100","19790813","082559","-9.482","-75.55","33","5","20223006"
"2103","19790824","110628","-9.315","-79.975","33","5","20223006"
"2117","19791104","135815","-16.828","-69.51","181","5","20223006"
"2126","19791227","115344","-15.151","-70.927","203","5","20223006"
"2143","19800224","110051","-4.825","-77.142","151","5","20223006"
"2148","19800307","043102","-13.808","-75.363","90","5","20223006"
"2157","19800327","061649","-17.385","-70.128","145","5","20223006"
"2160","19800402","231435","-8.676","-74.8","140","5","20223006"
"2164","19800412","091444","-9.96","-78.44","33","5","20223006"
"2166","19800504","232856","-5.661","-79.156","79","5","20223006"
"2182","19800725","001144","-8.039","-74.53","156","5","20223006"
"2189","19800822","085345","-9.981","-79.793","13","5","20223006"
"2211","19801214","225750","-11.021","-74.189","170","5","20223006"
"2216","19801222","141000","-9.671","-75.538","41","5","20223006"
"2226","19810124","090203","-13.244","-74.47","53","5","20223006"
"2234","19810218","041141","-10.463","-74.885","57","5","20223006"
"2239","19810318","033947","-9.78","-78.379","104","5","20223006"
"2247","19810420","143043","-14.758","-73.946","93","5","20223006"
"2268","19810614","163059","-8.47","-79.619","37","5","20223006"
"2277","19810630","043007","-13.255","-74.532","11","5","20223006"
"2284","19810716","052759","-10.306","-77.869","33","5","20223006"
"2286","19810718","181434","-17.277","-73.907","41","5","20223006"
